"","名稱","地址","服務","latitude","longitude"
"40","萬保富美容時代會館","632台灣雲林縣虎尾鎮林森路一段217號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",23.714484094509,120.438698362763
"41","維多美容瘦身館(星星SPA)","404台灣台中市北區忠明路177號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩精油按摩局部護理芳療SPA泰式SPA踩背",24.162702092045,120.664741192323
"42","美力工作坊","300台灣新竹市東區南大路215號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",24.799193015694,120.972478995553
"43","丞佑養生會館","235台灣新北市中和區中山路二段472號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",25.004705002068,121.48836703109
"44","小珍全身按摩","625台灣嘉義縣布袋鎮中正路171號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA",23.382555992986,120.154881002454
"45","禾康足體養生館","612台灣嘉義縣太保市祥和三路東段5號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩",23.454807998359,120.293010994928
"46","彩麗美容會館","302台灣新竹縣竹北市縣政二路21號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA踩背",24.822260013233,121.013610000263
"47","152養生會館","612台灣嘉義縣太保市北港路二段152號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽",23.49716820917,120.379466470508
"48","足品足體養生會館","701台灣台南市東區東興路163號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩經絡按摩中式推拿拔罐刮痧精油按摩修凍甲修腳皮足湯筋骨整復",22.993684007318,120.229131002086
"49","花石間舒壓坊","710台灣台南市永康區永福街11巷22號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",23.017472016168,120.261310972395
"50","看得見視障按摩","701台灣台南市東區林森路一段208號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓台式按摩中式按摩經絡按摩中式推拿局部護理足湯",22.982180012847,120.216928962719
"51","寶儷養生館","741台灣台南市善化區光復路422號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",23.128759508547,120.286245709418
"52","金華泰式按摩","700台灣台南市中西區金華路三段67號2樓","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA被動式瑜伽踩背",22.989791996307,120.192281473518
"53","綺綺養生油壓館","741台灣台南市善化區興華路283號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.126890008863,120.295334961403
"54","小燕子養生館","741台灣台南市善化區大成路136號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.130501980488,120.302352123103
"55","津綻足體筋絡按摩館","702台灣台南市南區大同路二段39號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩美胸按摩指壓油壓台式按摩中式按摩運動按摩足反射按摩經絡按摩中式推拿拔罐刮痧精油按摩局部護理踩背筋骨整復",22.980176989446,120.212803976709
"56","越美鳳養生館","704台灣台南市北區公園路599-5號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩足湯芳療SPA泰式SPA",23.014439988422,120.212702974776
"57","真美養生會館","704台灣台南市北區公園路541-2號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",23.010051014372,120.2104899847
"58","愛妃養生館","704台灣台南市北區公園路751號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽",23.017937002246,120.215476965632
"59","翠峰傳統整復推拿","813台灣高雄市左營區翠峰路58號","腳底按摩肩頸按摩指壓台式按摩中式按摩運動按摩穴道按摩理療按摩經絡按摩中式推拿局部護理筋骨整復",22.672872991614,120.288430033386
"60","花木蘭SPA養生館","802台灣高雄市苓雅區建國一路60號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽踩背",22.630369995083,120.337258977973
"61","溫純男女舒壓會館","812台灣高雄市小港區山明路549號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩休閒舒壓經絡按摩拔罐刮痧精油按摩熱石按摩芳療SPA泰式SPA被動式瑜伽踩背",22.569217012529,120.361845027824
"62","Anne SPA 時尚生活館","701台灣台南市東區中華東路一段200號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",22.994225017258,120.233947998022
"63","采虹棠男女護膚名店","950台灣台東縣台東市更生路827號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",22.769740006314,121.134353997714
"64","僑福皇家沐足館","220台灣新北市板橋區館前西路139號5樓","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",25.007742017046,121.45627800443
"65","發財泰式按摩","950台灣台東縣台東市中華路二段99號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA被動式瑜伽踩背",22.745206008081,121.140225017974
"66","衣衣美容按摩坊","900台灣屏東縣屏東市8號 徐州路164巷","全身按摩肩頸按摩背部按摩油壓泰式按摩台式按摩中式按摩經絡按摩拔罐精油按摩修凍甲芳療SPA泰式SPA除毛美甲美睫",22.680944010001,120.479831965864
"67","印象泰養生館","351台灣苗栗縣頭份市永貞路一段283號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.68359370139,120.88516598272
"68","水澐閣SPA養生會館","108台灣台北市萬華區萬大路289號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA被動式瑜伽",25.025093981542,121.500617014943
"69","品竹足體養生館","100台灣台北市中正區廈門街137號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩經絡按摩中式推拿刮痧精油按摩局部護理足湯",25.022099001809,121.517496994472
"70","新悅美容養生館","106台灣台北市大安區瑞安街208巷24弄2號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA",25.028624983983,121.540366011458
"71","珊妹舒壓養生館","302台灣新竹縣竹北市新工五路5號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",24.848183982469,121.004676986954
"72","星蓉美體舒活館","640台灣雲林縣斗六市中山路649號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽全身去角質",23.692767002477,120.538378972811
"73","朵莉SPA會館","302台灣新竹縣竹北市六家五路一段213號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.808189019006,121.02817699361
"74","新國統男女養生名店","104台灣台北市中山區一江街45號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",25.054459015399,121.53167699535
"75","星星按摩養生會館","333台灣桃園市龜山區文化七路176號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿滑罐拔罐刮痧精油按摩局部護理臉部按摩修凍甲修腳皮足湯芳療SPA美容SPA泰式SPA薰香耳燭美甲洗頭",25.051500999858,121.367349029224
"76","蕊菈美療SPA","241台灣新北市三重區三和路二段27號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",25.067095404988,121.501111379592
"77","泰金舒壓館","103台灣台北市大同區重慶北路三段37-1號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩刮痧精油按摩足湯芳療SPA泰式SPA被動式瑜伽踩背",25.065421999928,121.513916999807
"78","靜安養生館","110台灣台北市信義區莊敬路391巷11弄5號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓東方指壓台式按摩中式按摩運動按摩經絡按摩中式推拿拔罐刮痧精油按摩",25.028621002579,121.565509038775
"79","歐舍ORSIR SPA會館","632台灣雲林縣虎尾鎮中正路360號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩美胸按摩指壓油壓瑞典式按摩台式按摩中式按摩深層組織按摩休閒舒壓經絡按摩拔罐刮痧精油按摩局部護理臉部護膚臉部按摩孕婦按摩足湯水療SPA芳療SPA美容SPA歐式SPA蒸汽SPA薰香耳燭掏耳朵被動式瑜伽汗蒸全身去角質除毛美睫",23.70347949383,120.428720880499
"80","金如意經絡館","338台灣桃園市蘆竹區光明路二段120號","全身按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩經絡按摩中式推拿拔罐刮痧精油按摩掏耳朵全身去角質",25.047515991632,121.287919013429
"81","沐媗美學館","900台灣屏東縣屏東市大連路11號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA",22.683699979765,120.507908994568
